county,town,name,address,lat,lon,Food,Drinks,Special_services,In_store_services,Other_products
信義區,世貿二,忠林,台北市信義區忠孝東路五段470號1樓,25.0406569,121.576851,1,,1,,1
台北市,信義區,忠隆,台北市信義區忠孝東路五段71巷6號1樓,25.0417975,121.5672429,1,1,1,,1
台北市,信義區,昌隆,台北市信義區基隆路二段131-4號,25.0280419,121.5568913,1,1,1,1,1
台北市,信義區,東暉,台北市信義區忠孝東路四段514號,25.0408283,121.5624782,1,1,1,1,1
台北市,信義區,松山,台北市信義區忠孝東路五段386號,25.0407495,121.5741676,1,1,1,1,1
台北市,信義區,松仁,台北市信義區松仁路213號,25.0267975,121.5685447,1,1,1,1,1
台北市,信義區,松信,台北市信義區松信路148號1樓,25.0436505,121.5718818,1,1,1,1,1
台北市,信義區,松茂,台北市信義區松山路11號B1樓,25.0492016,121.5783212,1,1,1,,1
台北市,信義區,松家,台北市信義區松山路608號610號,25.0358094,121.5785008,,,1,1,1
台北市,信義區,松高,台北市信義區基隆路一段141號1樓,25.0429861,121.5659519,1,1,1,1,1
台北市,信義區,松捷,台北市信義區忠孝東路五段1之6號,25.0413712,121.5649767,1,1,1,,1
台北市,信義區,松智,台北市信義區莊敬路325巷43號,25.0291432,121.564767,1,1,1,1,1
台北市,信義區,松義,台北市信義區松德路271號,25.0329151,121.5747435,1,1,1,,1
台北市,信義區,松錢,台北市信義區松隆路192號194號1樓,25.0467535,121.5723981,1,1,1,1,1
台北市,信義區,松聯,台北市信義區忠孝東路四段559巷24號1樓,25.0427036,121.5638657,1,1,1,1,1
台北市,信義區,松鐵,台北市信義區松山路11號B1樓,25.0492016,121.5783212,1,1,1,,1
台北市,信義區,信吉,台北市信義區永吉路278巷58弄2號,25.0434928,121.5740442,,1,1,,1
台北市,信義區,信林,台北市信義區虎林街222巷7號9號1樓,25.0372039,121.5771676,1,1,1,1,1
台北市,信義區,信富,台北市信義區吳興街156巷63號63之1號,25.0282132,121.5592249,1,1,1,1,1
台北市,信義區,信運,台北市信義區松勤街100號1樓,25.0316996,121.566771,1,1,1,1,1
台北市,信義區,信嘉,台北市信義區嘉興街181巷21號,25.0262624,121.5573668,,1,1,1,1
台北市,信義區,信福,台北市信義區福德街308號310巷1號,25.0393735,121.5874323,1,1,1,1,1
台北市,信義區,信遠,台北市信義區松仁路58號B2樓,25.0368519,121.5677823,1,1,1,,1
台北市,信義區,信德,台北市信義區松德路200巷10號,25.0348367,121.573658,,1,1,,1
台北市,信義區,信醫,台北市信義區吳興街346號348號,25.0258308,121.5663254,1,1,1,1,1
台北市,信義區,後山埤,台北市信義區中坡北路11號1樓,25.0446379,121.580977,1,1,1,,1
台北市,信義區,春光,台北市信義區大道路9號11號1樓,25.0426055,121.5815896,1,1,1,1,1
台北市,信義區,革新,台北市信義區永吉路32號34號,25.0455575,121.5688898,1,1,1,1,1
台北市,信義區,留公,台北市信義區福德街247號249號,25.0387468,121.5858906,1,1,1,1,1
台北市,信義區,國貿,台北市信義區基隆路一段333號B3,25.034257,121.5610245,1,1,1,1,1
台北市,信義區,崇德,台北市信義區崇德街104號106號1樓,25.023995,121.555603,1,1,1,1,1
台北市,信義區,崧站,台北市信義區松隆路329巷4號,25.0484274,121.5793028,1,1,1,,1
台北市,信義區,捷忠,台北市信義區忠孝東路五段617號,25.0416917,121.5790542,,1,1,1,1
台北市,信義區,統誠,台北市信義區松高路11號B2樓,25.0396669,121.5653555,1,1,1,,1
台北市,信義區,凱悅,台北市信義區基隆路一段398號1樓,25.0342889,121.5600266,1,1,1,,1
台北市,信義區,喬治,台北市信義區基隆路二段155號1樓,25.0259016,121.5545101,1,1,1,1,1
台北市,信義區,台北市,台北市信義區松仁路246號248號1樓,25.0245738,121.5694179,1,1,1,1,1
台北市,信義區,惠安,台北市信義區惠安里吳興街520號,25.0221574,121.5688723,1,1,1,1,1
台北市,信義區,敦厚,台北市信義區永吉路30巷168弄1號1樓,25.0420853,121.5675411,1,1,1,1,1
台北市,信義區,萊福,台北市信義區林口街48號,25.038253,121.5794416,1,1,1,1,1
信義區,信義區,開源,台北市信義區松山路136號138號,25.0472141,121.5776112,1,1,1,1,1
台北市,信義區,微風南山,台北市信義區松智路17號B2樓,25.0343203,121.5663022,1,1,1,,1
台北市,信義區,新三連,台北市信義區松仁路58號B2樓,25.0404525,121.5631676,1,1,1,1,1
台北市,信義區,新工農,台北市信義區忠孝東路五段236巷6-3號8號1樓,25.0403,121.571763,1,1,1,,1
台北市,信義區,新光,台北市信義區松高路12號B1樓,25.0388349,121.5668013,1,1,1,,1
台北市,信義區,新東宮,台北市信義區松山路455號,25.0397961,121.5780283,,1,1,,1
台北市,信義區,道生,台北市信義區新仁里東興路57號,25.047382,121.5664827,1,1,1,1,1
台北市,信義區,嘉馥,台北市信義區信義路六段21號23號1樓,25.03444,121.575498,1,,1,1,1
台北市,信義區,福中,台北市信義區福德街159號161號1樓,25.0376675,121.5833132,1,1,1,1,1
台北市,信義區,廣慈,台北市信義區大道路115號117號1樓,25.0396255,121.5831492,1,1,1,1,1
台北市,信義區,德鄰,台北市信義區吳興街257號259號,25.0374409,121.5752252,1,1,1,1,1
台北市,信義區,慶林,台北市信義區虎林街151號153號1樓,25.03951,121.576738,,1,1,1,1
台北市,信義區,興貿,台北市信義區景新里莊敬路178巷2號,25.0308964,121.5610602,1,1,1,,1
